,key,DOCUMENTO,PROGRAMA,CICLO,ESTADO,PUNTOS,CREDITOS,PROMEDIO,TIPO_DOCUMENTO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
5045,3f7fb1c79c9f385ea165d945923442e9,ee005d093ec3347f48a43c8bb09fb027,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,430.59999999999997,119,3.6184873949579828,CC,M,REGULAR,22.0,SOLTERO,EMPLEADO,2.0,0,4.5685023000000005,-74.0881441,SAN CRISTOBAL
5046,65062ebca2e277d3bdff9a04af2069e4,73d36b26dbb8562ceb5fbcccbff15df5,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,180.8,48,3.766666666666667,CC,F,REGULAR,22.0,SOLTERO,EMPLEADO,2.0,0,4.632780599999999,-74.0565642,SAN CRISTOBAL
5047,5223f2b1d7730460c771368bf88cc492,08e6fa261feaf0fa88a4177375ddffd4,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,2.5,15,0.16666666666666666,CC,M,REGULAR,22.0,SOLTERO,DESEMPLEADO,2.0,0,4.5888126,-74.12037990000002,SAN CRISTOBAL
5048,607287775e09f9f7cd387bd1f94d934f,759a10440f8a4fa1ce9fad127ac826f2,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,51.29999999999999,16,3.2062499999999994,CC,M,REGULAR,22.0,SOLTERO,EMPLEADO,2.0,0,4.6253892,-74.0733862,SAN CRISTOBAL
5049,f82adbee40f849e831a985a0bc323ff2,f748c5b874b2d5910ad9344e4872c8b0,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,63.0,15,4.2,CC,F,REGULAR,22.0,SOLTERO,EMPLEADO,2.0,0,4.5465059000000005,-74.1030959,SAN CRISTOBAL
5050,7a5d9d6d3749eb509eb4cd4e1980c58c,aa1b7b044c885916ad136a42bd19ee28,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,GRADUADO,266.30000000000007,79,3.3708860759493677,CC,M,REGULAR,21.0,SOLTERO,,1.0,0,4.5679447,-74.1107955,SAN CRISTOBAL
5051,92ea79ba3feac08aff47678079ce0970,aa1b7b044c885916ad136a42bd19ee28,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,103.60000000000002,29,3.572413793103449,CC,M,REGULAR,21.0,SOLTERO,,1.0,0,4.5679447,-74.1107955,SAN CRISTOBAL
5052,6f8ab8b339c0ad0a023103c35b14dd4e,b11443c6445e006cd173cd01ef4cc16f,INGENIERIA MECATRONICA,PROFESIONAL,ACTIVO,66.89999999999999,18,3.7166666666666663,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,1.0,0,,,RAFAEL URIBE
5053,879d1806b69dc6433fb37d799a27cc00,b11443c6445e006cd173cd01ef4cc16f,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,GRADUADO,340.40000000000003,92,3.7,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,1.0,0,,,RAFAEL URIBE
5054,adc26f9a848e02aa8dca9cc58ae4ab7a,b11443c6445e006cd173cd01ef4cc16f,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,TECNOLOGIA,GRADUADO,136.9,38,3.6026315789473684,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,1.0,0,,,RAFAEL URIBE
5055,acbb35e71a61c71885fa5a84a518e98e,7b67231868127c508fbf5a59a76516c8,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,379.1000000000001,99,3.8292929292929303,CC,F,REGULAR,21.0,SOLTERO,DESEMPLEADO,2.0,0,4.6166178,-74.06770279999998,SAN CRISTOBAL
5056,43cbdca108ea8b5d0f58da83f30776e4,276bcc85f5ac42de82b6824fadf62327,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,21.9,16,1.36875,CC,M,REGULAR,21.0,SOLTERO,DESEMPLEADO,2.0,0,,,RAFAEL URIBE
5057,2a68e545fdedfafd76d74b8b63f4a6c3,8d2e4d83b94aa90c3d2a9c30a9121db0,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,268.70000000000005,75,3.5826666666666673,CC,M,REGULAR,21.0,SOLTERO,DESEMPLEADO,3.0,1,4.6428981,-74.1235437,SAN CRISTOBAL
5058,10502f4755362e17b98d795db50b51d5,6601685c86ee1ae1c31ee8e68b0f7827,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,27.299999999999997,15,1.8199999999999998,CC,M,REGULAR,21.0,SOLTERO,DESEMPLEADO,1.0,0,,,SANTA FE
5059,3d163d9b1eaefbcd5ffc0f9d021e460c,389fd5cd0cbb4f19a41e5dc2de646ae7,INGENIERIA MECATRONICA,PROFESIONAL,ACTIVO,74.4,18,4.133333333333334,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,2.0,0,,,SUBA
5060,45f79f097e2a26622c15a37451df0248,389fd5cd0cbb4f19a41e5dc2de646ae7,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,GRADUADO,370.5999999999999,96,3.8604166666666657,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,2.0,0,,,SUBA
5061,4c908b7f05395e9ae7562fd375cb0300,389fd5cd0cbb4f19a41e5dc2de646ae7,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,TECNOLOGIA,DESERTOR,145.20000000000002,35,4.1485714285714295,CC,M,REGULAR,21.0,SOLTERO,INDEPENDIENTE,2.0,0,,,SUBA
