key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDE0NjExNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,30,2.8626666666666667,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,4.6804153,-74.1686078,FONTIBON
MTAwMDE0OTExNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,54,3.086666666666667,M,REGULAR,20,SOLTERO,INDEPENDIENTE,2,0,,,PUENTE ARANDA
MTAwMDE1NjI0MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,30,3.427,F,REGULAR,20,SOLTERO,EMPLEADO,2,0,,,CIUDAD BOLIVAR
MTAwMDE1Njc1NiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,31,4.2941935483870965,M,REGULAR,19,,DESEMPLEADO,2,0,4.6088153,-74.1675936,KENNEDY
MTAwMDE1Njk2OCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,3.7707142857142855,M,VALIDACION,19,SOLTERO,DESEMPLEADO,3,0,,,KENNEDY
MTAwMDE1NzgwMiB8IFRFQ05PTE9HSUEgRU4gQVVUT01BVElaQUNJT04gSU5EVVNUUklBTA==,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,TECNOLOGIA,ACTIVO,31,4.410387096774194,M,REGULAR,19,SOLTERO,,2,0,4.7622914000000005,-74.0328777,BOSA
MTAwMDE1NzkzOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,3.7788888888888885,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,4.6163847,-74.0621314,PUENTE ARANDA
MTAwMDE1ODEzMiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,29,3.7520344827586203,M,REGULAR,18,SOLTERO,EMPLEADO,2,0,7.8765482,-72.4834635,SAN CRISTOBAL
MTAwMDE1OTA0MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,49,3.65,M,REGULAR,19,SOLTERO,DESEMPLEADO,3,0,4.7243278,-74.057615,PUENTE ARANDA
MTAwMDE2MDEzMiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,3.0883333333333334,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,9.2982229,-75.3825943,MUNICIPIO ALEDANO
MTAwMDE2MDc0MiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,16,4.6375,M,REGULAR,18,SOLTERO,EMPLEADO,2,0,4.6231218,-74.1982574,BOSA
