key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDc4NTYxNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,14,1.9585714285714286,M,REGULAR,18,SOLTERO,EMPLEADO,1,0,,,CIUDAD BOLIVAR
MTAwMDc5MTQwNSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,GRADUADO,70,3.976857142857143,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,4.634692,-74.06369029999998,KENNEDY
MTAwMDc5MjQzNiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,GRADUADO,73,3.722328767123288,M,REGULAR,24,SOLTERO,INDEPENDIENTE,2,0,4.6419934000000005,-74.0576242,KENNEDY
MTAwMDc5MjUzMyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,35,2.593428571428572,F,REGULAR,20,SOLTERO,EMPLEADO,1,0,,,CIUDAD BOLIVAR
MTAwMDgwMzA1MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,14,0.975,M,REGULAR,21,SOLTERO,EMPLEADO,2,0,4.6043395,-74.09400500000002,LOS MARTIRES
MTAwMDgwNTEwOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,0.19166666666666662,M,VALIDACION,20,SOLTERO,OTRO,1,0,4.5317887,-74.1121689,USME
MTAwMDgwNzQwOCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,15,0.5313333333333333,M,REGULAR,23,SOLTERO,EMPLEADO,3,0,,,PUENTE ARANDA
MTAwMDg1MjIxNCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,36,3.316388888888889,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.5716739,-74.1487372,CIUDAD BOLIVAR
MTAwMDg1NDA0MiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,DESERTOR,17,3.048352941176471,M,REGULAR,20,,,2,0,4.59808,-74.0760439,BOSA
MTAwMDg1Nzg0MSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,15,3.0565333333333333,M,REGULAR,20,SOLTERO,DESEMPLEADO,3,0,4.6163847,-74.0621314,PUENTE ARANDA
